"intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle","Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2"
45,12,162,9.566000000000001,6379346798,2779346798,-3,0.2700656056404114,9.549072265625,-0.5006457567214966
7,13,163,7.966,6379346800,2779346800,13,0.2207855433225632,7.758691310882568,1.791960120201111
10,14,164,14.772,6379346803,2779346803,-1,0.4227027297019958,14.76370048522949,-0.2578069567680359
11,15,165,6.984,6379346805,2779346805,15,0.1942447572946548,6.743228912353516,1.807592153549194
4,0,171,4.952,6379346826,2779346826,-15,0.1427359580993652,4.781134605407715,-1.28167188167572
6,1,172,14.772,6379346828,2779346828,1,0.4433163404464722,14.76309585571289,0.2578069567680359
3,2,173,5.706,6379346830,2779346830,-13,0.1678468436002731,5.557221412658691,-1.283570766448975
19,3,173,9.56,6379346833,2779346833,3,0.2882171273231506,9.542547225952148,0.5003317594528198
4,4,174,6.77,6379346835,2779346835,-11,0.2017878890037537,6.642551898956299,-1.291776895523071
40,5,175,9.468,6379346837,2779346837,5,0.2880383729934692,9.427572250366211,0.825190544128418
2,6,176,8.375999999999999,6379346839,2779346839,-9,0.254084587097168,8.268974304199219,-1.310295104980469
22,7,177,9.496,6379346842,2779346842,7,0.2911206185817719,9.420721054077148,1.157271265983582
27,8,178,9.612,6379346844,2779346844,-7,0.2963411509990692,9.535750389099121,-1.171408176422119
26,9,179,9.548,6379346846,2779346846,9,0.2945724129676819,9.425846099853516,1.493636250495911
31,10,179,9.577999999999999,6379346849,2779346849,-5,0.2980429232120514,9.536896705627441,-0.8347777128219604
6,11,180,9.263999999999999,6379346851,2779346851,11,0.2856429815292358,9.089306831359863,1.767654538154602
43,12,181,9.552,6379346853,2779346853,-3,0.3012883961200714,9.534150123596191,-0.4999130666255951
7,13,182,7.958,6379346856,2779346856,13,0.2462655007839203,7.750125408172607,1.790160536766052
5,14,183,14.796,6379346858,2779346858,-1,0.4724248945713043,14.78620147705078,-0.2582257986068726
11,15,183,6.986,6379346860,2779346860,15,0.21548992395401,6.744516372680664,1.808109879493713
4,0,191,4.952,6379346881,2779346881,-15,0.159424364566803,4.780607223510742,-1.28167188167572
6,1,192,14.762,6379346883,2779346883,1,0.4945114552974701,14.75146484375,0.2576324343681335
4,2,193,5.718,6379346885,2779346885,-13,0.1876379251480103,5.568287372589111,-1.286270141601563
19,3,193,9.556000000000001,6379346888,2779346888,3,0.3213905394077301,9.537489891052246,0.5001223683357239
4,4,194,6.772,6379346890,2779346890,-11,0.2250399589538574,6.643769264221191,-1.292158484458923
40,5,195,9.460000000000001,6379346892,2779346892,5,0.3206738233566284,9.418544769287109,0.8244933485984802
5,6,196,8.362,6379346895,2779346895,-9,0.2824742197990417,8.254218101501465,-1.308104991912842
22,7,197,9.49,6379346897,2779346897,7,0.3237985968589783,9.4136962890625,1.156540036201477
25,8,198,9.602,6379346899,2779346899,-7,0.3292824029922485,9.524738311767578,-1.170189380645752
26,9,199,9.544,6379346902,2779346902,9,0.3273357748985291,9.420812606811523,1.493010520935059
33,10,199,9.584,6379346904,2779346904,-5,0.3315386474132538,9.54177188873291,-0.835300624370575
6,11,200,9.288,6379346906,2779346906,11,0.3181910514831543,9.111799240112305,1.772233963012695
45,12,201,9.558,6379346909,2779346909,-3,0.3347771167755127,9.539028167724609,-0.5002270936965942
7,13,202,7.946,6379346911,2779346911,13,0.2729048430919647,7.737533092498779,1.787461042404175
10,14,203,14.776,6379346913,2779346913,-1,0.5233271718025208,14.76447772979736,-0.2578767538070679
10,15,203,6.998,6379346915,2779346915,15,0.2394419610500336,6.755306720733643,1.81121563911438
4,0,211,4.946,6379346936,2779346936,-15,0.1758974492549896,4.774230003356934,-1.280118942260742
6,1,212,14.768,6379346938,2779346938,1,0.5462225675582886,14.75564384460449,0.2577371299266815
3,2,213,5.724,6379346941,2779346941,-13,0.2072910219430923,5.573440551757813,-1.287619829177856
19,3,214,9.56,6379346943,2779346943,3,0.3564941883087158,9.540240287780762,0.5003317594528198
4,4,214,6.772,6379346945,2779346945,-11,0.2482296675443649,6.642942905426025,-1.292158484458923
40,5,215,9.464,6379346948,2779346948,5,0.353698194026947,9.42134952545166,0.8248419761657715
2,6,216,8.396000000000001,6379346950,2779346950,-9,0.3125507831573486,8.286739349365234,-1.313423752784729
22,7,217,9.497999999999999,6379346952,2779346952,7,0.3569571971893311,9.420442581176758,1.157515048980713
25,8,218,9.602,6379346955,2779346955,-7,0.3625279366970062,9.523530960083008,-1.170189380645752
25,9,218,9.532,6379346957,2779346957,9,0.3581236600875854,9.407831192016602,1.491133332252502
38,10,219,9.58,6379346959,2779346959,-5,0.3646913468837738,9.536574363708496,-0.8349519968032837
6,11,220,9.279999999999999,6379346962,2779346962,11,0.3496937453746796,9.102786064147949,1.770707488059998
47,12,221,9.57,6379346964,2779346964,-3,0.3685346245765686,9.549776077270508,-0.5008550882339478
7,13,222,7.962,6379346966,2779346966,13,0.3005161285400391,7.752111911773682,1.791060328483582
5,14,223,14.756,6379346968,2779346968,-1,0.5740835070610046,14.74257946014404,-0.2575277090072632
10,15,224,6.992,6379346971,2779346971,15,0.2639732658863068,6.748592853546143,1.809662818908691
4,0,231,4.942,6379346991,2779346991,-15,0.1924058198928833,4.769726276397705,-1.279083728790283
4,1,232,14.742,6379346994,2779346994,1,0.5966737270355225,14.7276725769043,0.2572833895683289
3,2,233,5.736,6379346996,2779346996,-13,0.2272200584411621,5.584365844726563,-1.290319204330444
19,3,233,9.556000000000001,6379346998,2779346998,3,0.3879664242267609,9.535014152526855,0.5001223683357239
4,4,234,6.78,6379347001,2779347001,-11,0.2717369794845581,6.649882793426514,-1.293684959411621
37,5,235,9.452,6379347003,2779347003,5,0.3860925137996674,9.408113479614258,0.8237960934638977
2,6,236,8.388,6379347005,2779347005,-9,0.341149628162384,8.277703285217285,-1.312172293663025
22,7,237,9.504,6379347008,2779347008,7,0.3900847733020782,9.425089836120605,1.158246278762817
25,8,238,9.614000000000001,6379347010,2779347010,-7,0.3962636590003967,9.534107208251953,-1.171651840209961
26,9,239,9.536,6379347012,2779347012,9,0.392767459154129,9.410403251647949,1.491759061813354
36,10,239,9.566000000000001,6379347015,2779347015,-5,0.3973963856697083,9.521308898925781,-0.8337318301200867
6,11,240,9.272,6379347017,2779347017,11,0.3811374306678772,9.093663215637207,1.7691810131073
50,12,241,9.564,6379347019,2779347019,-3,0.4016153514385223,9.542445182800293,-0.500541090965271
7,13,242,7.962,6379347021,2779347021,13,0.327574223279953,7.751015663146973,1.791060328483582
5,14,243,14.756,6379347024,2779347024,-1,0.6255412101745605,14.74048519134521,-0.2575277090072632
10,15,244,6.994,6379347026,2779347026,15,0.2876108884811401,6.749560356140137,1.810180425643921
4,0,251,4.958,6379347047,2779347047,-15,0.2097309231758118,4.784465789794922,-1.283224821090698
6,1,252,14.744,6379347049,2779347049,1,0.6481671929359436,14.72749805450439,0.2573182880878448
3,2,253,5.718,6379347051,2779347051,-13,0.2459375411272049,5.566017150878906,-1.286270141601563
19,3,253,9.56,6379347054,2779347054,3,0.4214237928390503,9.537592887878418,0.5003317594528198
6,4,254,6.79,6379347056,2779347056,-11,0.2953827679157257,6.658699989318848,-1.295593023300171
40,5,255,9.448,6379347058,2779347058,5,0.4187533259391785,9.402727127075195,0.8234474658966064
5,6,256,8.368,6379347061,2779347061,-9,0.3691598176956177,8.25672721862793,-1.309043645858765
22,7,257,9.492000000000001,6379347063,2779347063,7,0.4224480390548706,9.411771774291992,1.156783819198608
27,8,258,9.612,6379347065,2779347065,-7,0.4294521510601044,9.530682563781738,-1.171408176422119
